message,is_smsing,safe_info,domain_old_info,is_ip,url_length,number_of_subdomains,is_https,special_characters,tlds_blackist,make_redirection,creation_date,updated_date,is_suspended,count_dictionary
NETFLIX BLOQUEADO: su cuenta verificar información de pago Inicie sesión en netfIix-micuenta.com,1,0,144,0,20,0,0,0,0,0,2023/09/12,2023/10/07,1,2
Urgente Neflix: información de su cuenta verificar información de pago Inicie sesión en http://truchodomain.info/redirection,1,0,249,0,36,0,0,0,1,0,2023/05/30,2023/06/04,0,1
Urgente Neflix: información de su cuenta bloqueada por seguridad. Evite la cancelación de su servicio visitando: http://truchodomain.info/pages/special_char_а.html,1,0,249,0,50,0,0,1,1,0,2023/05/30,2023/06/04,0,0
Urgente Neflix: información de su cuenta verificar Revise su información en el siguiente enlace: http://truchodomain.info/pages/special_char_а.html,1,0,249,0,50,0,0,1,1,0,2023/05/30,2023/06/04,0,0
ATENCIÓN NETFLIX pausada. Necesita verificar su información. Acceda a su info en: netfIix-micuenta.com,1,0,144,0,20,0,0,0,0,0,2023/09/12,2023/10/07,1,1
NETFLIX cuenta bloqueada temporalmente suspendida. Inicie sesión en http://truchodomain.info/pages/special_char_а.html,1,0,249,0,50,0,0,1,1,0,2023/05/30,2023/06/04,0,2
NETFLIX cuenta bloqueada bloqueada por seguridad. Urgente: Acceda a su cuenta en netfIix-micuenta.com,1,0,144,0,20,0,0,0,0,0,2023/09/12,2023/10/07,1,1
Detectado acceso a su cuenta Netflix temporalmente suspendida. Revise su información en el siguiente enlace: http://217.160.114.154,1,0,,1,22,2,0,0,0,0,,,,1
"NETFLIX cuenta bloqueada verificar información de pago Por favor, inicie sesión para actualizar su información a través de: http://217.160.114.154",1,0,,1,22,2,0,0,0,0,,,,2
Netflix BLOQUEADO verificar Revise su información en el siguiente enlace: http://truchodomain.info/pages/special_char_а.html,1,0,249,0,50,0,0,1,1,0,2023/05/30,2023/06/04,0,1
AVISO de Netflix: Su cuenta ahora está temporalmente suspendida. Revise su información en el siguiente enlace: http://truchodomain.info/pages/special_char_а.html,1,0,249,0,50,0,0,1,1,0,2023/05/30,2023/06/04,0,1
"Alerta NETFLIX: Detectamos un problema con su cuenta, está verificar información de pago Por favor, inicie sesión para actualizar su información a través de: http://217.160.114.154/redirection",1,0,,1,34,2,0,0,0,1,,,,2
Acceso Externo a su cuenta Netflix verificar Revise su información en el siguiente enlace: http://217.160.114.154/pages/special_char_а.html,1,0,,1,48,2,0,1,0,0,,,,1
Problemas con Pago cuenta Neflix pausada. Necesita verificar su información. Urgente: Acceda a su cuenta en http://truchodomain.info/,1,0,249,0,25,0,0,0,1,0,2023/05/30,2023/06/04,0,0
ATENCIÓN NETFLIX verificar información de pago Acceda a su info en: netfIix-micuenta.com,1,0,144,0,20,0,0,0,0,0,2023/09/12,2023/10/07,1,1
NETFLIX BLOQUEADO: su cuenta verificar información de pago Revise su información en el siguiente enlace: http://truchodomain.info/,1,0,249,0,25,0,0,0,1,0,2023/05/30,2023/06/04,0,1
"Netflix BLOQUEADO verificar información de pago Por favor, inicie sesión para actualizar su información a través de: http://217.160.114.154/redirection",1,0,,1,34,2,0,0,0,1,,,,2
Netflix BLOQUEADO verificar información de pago Evite la cancelación de su servicio visitando: http://truchodomain.info/redirection,1,0,249,0,36,0,0,0,1,0,2023/05/30,2023/06/04,0,1
Netflix BLOQUEADO bloqueada por seguridad. Urgente: Acceda a su cuenta en http://truchodomain.info/redirection,1,0,249,0,36,0,0,0,1,0,2023/05/30,2023/06/04,0,1
"NETFLIX BLOQUEADO: su cuenta temporalmente suspendida. Por favor, inicie sesión para actualizar su información a través de: http://217.160.114.154",1,0,,1,22,2,0,0,0,0,,,,2
Cancelación de su Cuenta Netflix temporalmente suspendida. Evite la cancelación de su servicio visitando: http://217.160.114.154/redirection,1,0,,1,34,2,0,0,0,1,,,,1
