message,is_smsing,safe_info,domain_old_info,is_ip,url_length,number_of_subdomains,is_https,special_characters,tlds_blackist,make_redirection,creation_date,updated_date,is_suspended,count_dictionary
AVISO de Netflix: Su cuenta ahora está temporalmente suspendida. Evite la cancelación de su servicio visitando: http://217.160.114.154/pages/special_char_а.html,,0,0,1,48,2,0,1,0,0,,,,5
AVISO de Netflix: Su cuenta ahora está verificar Revise su información en el siguiente enlace: http://217.160.114.154,,0,0,1,22,2,0,0,0,0,,,,6
Problemas con su cuenta Neflix pausada. Necesita verificar su información. Acceda a su info en: http://217.160.114.154,,0,0,1,22,2,0,0,0,0,,,,3
NETFLIX BLOQUEADO: su cuenta bloqueada por seguridad. Acceda a su info en: http://truchodomain.info/pages/special_char_а.html,,0,0,0,50,0,0,1,1,0,2023/05/30,2023/06/04,0.0,5
NETFLIX: Su suscripción ha sido pausada. Necesita verificar su información. Inicie sesión en http://217.160.114.154/redirection,,0,0,1,34,2,0,0,0,1,,,,5
NETFLIX BLOQUEADO: su cuenta temporalmente suspendida. Inicie sesión en netfIix-micuenta.com,,0,0,0,20,0,0,0,0,0,2023/09/12,2023/10/07,1.0,4
AVISO de Netflix: Su cuenta ahora está verificar información de pago Evite la cancelación de su servicio visitando: http://truchodomain.info/redirection,,0,0,0,36,0,0,0,1,0,2023/05/30,2023/06/04,0.0,8
"Problemas con su cuenta Neflix temporalmente suspendida. Por favor, inicie sesión para actualizar su información a través de: http://truchodomain.info/",,0,0,0,25,0,0,0,1,0,2023/05/30,2023/06/04,0.0,4
"Cancelación de su Cuenta Netflix verificar información de pago Por favor, inicie sesión para actualizar su información a través de: http://truchodomain.info/",,0,0,0,25,0,0,0,1,0,2023/05/30,2023/06/04,0.0,9
NETFLIX: Su suscripción ha sido temporalmente suspendida. Evite la cancelación de su servicio visitando: http://217.160.114.154/pages/special_char_а.html,,0,0,1,48,2,0,1,0,0,,,,4
NETFLIX: Su suscripción ha sido bloqueada por seguridad. Evite la cancelación de su servicio visitando: http://truchodomain.info/redirection,,0,0,0,36,0,0,0,1,0,2023/05/30,2023/06/04,0.0,6
AVISO de Netflix: Su cuenta ahora está pausada. Necesita verificar su información. Evite la cancelación de su servicio visitando: http://217.160.114.154/redirection,,0,0,1,34,2,0,0,0,1,,,,7
Netflix BLOQUEADO pausada. Necesita verificar su información. Inicie sesión en http://217.160.114.154,,0,0,1,22,2,0,0,0,0,,,,5
"Acceso Externo a su cuenta Netflix verificar Por favor, inicie sesión para actualizar su información a través de: http://truchodomain.info/pages/special_char_а.html",,0,0,0,50,0,0,1,1,0,2023/05/30,2023/06/04,0.0,7
