message,is_smsing,safe_info,domain_old_info,is_ip,url_length,number_of_subdomains,is_https,special_characters,tlds_blackist,make_redirection,creation_date,updated_date,is_suspended,count_dictionary
AVISO de Netflix: Su cuenta ahora está temporalmente suspendida. Evite la cancelación de su servicio visitando: http://217.160.114.154/pages/special_char_а.html,,False,False,True,48,2,False,True,False,False,,,,5
AVISO de Netflix: Su cuenta ahora está verificar Revise su información en el siguiente enlace: http://217.160.114.154,,False,False,True,22,2,False,False,False,False,,,,6
Problemas con su cuenta Neflix pausada. Necesita verificar su información. Acceda a su info en: http://217.160.114.154,,False,False,True,22,2,False,False,False,False,,,,3
NETFLIX BLOQUEADO: su cuenta bloqueada por seguridad. Acceda a su info en: http://truchodomain.info/pages/special_char_а.html,,False,False,False,50,0,False,True,True,False,2023/05/30,2023/06/04,False,5
NETFLIX: Su suscripción ha sido pausada. Necesita verificar su información. Inicie sesión en http://217.160.114.154/redirection,,False,False,True,34,2,False,False,False,True,,,,5
NETFLIX BLOQUEADO: su cuenta temporalmente suspendida. Inicie sesión en netfIix-micuenta.com,,False,False,False,20,0,False,False,False,False,2023/09/12,2023/10/07,True,4
AVISO de Netflix: Su cuenta ahora está verificar información de pago Evite la cancelación de su servicio visitando: http://truchodomain.info/redirection,,False,False,False,36,0,False,False,True,False,2023/05/30,2023/06/04,False,8
"Problemas con su cuenta Neflix temporalmente suspendida. Por favor, inicie sesión para actualizar su información a través de: http://truchodomain.info/",,False,False,False,25,0,False,False,True,False,2023/05/30,2023/06/04,False,4
"Cancelación de su Cuenta Netflix verificar información de pago Por favor, inicie sesión para actualizar su información a través de: http://truchodomain.info/",,False,False,False,25,0,False,False,True,False,2023/05/30,2023/06/04,False,9
NETFLIX: Su suscripción ha sido temporalmente suspendida. Evite la cancelación de su servicio visitando: http://217.160.114.154/pages/special_char_а.html,,False,False,True,48,2,False,True,False,False,,,,4
NETFLIX: Su suscripción ha sido bloqueada por seguridad. Evite la cancelación de su servicio visitando: http://truchodomain.info/redirection,,False,False,False,36,0,False,False,True,False,2023/05/30,2023/06/04,False,6
